CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG
12-000003,11.707,0.772,215.11,0.31
12-000021,14.591,1.157,97.96,2
12-000043,27.756,1.038,77.6,0.64
12-000061,26.063,4.985,67.96,1.22
12-000068,16.387,2.842,66.64,0.84
12-000071,7.733,4.58,64.26,0.15
12-000086,23.074,2.472,58.23,1.04
12-000088,3.786,1.581,57.83,1.3
12-000105,12.327,3.729,52.58,1.5
12-000108,6.249,0.763,51.91,0.2
12-000113,27.39,2.334,51.36,0.89
12-000116,18.988,4.909,51.02,1.45
12-000117,28.451,2.986,50.61,0.46
12-000118,16.84,4.425,50.55,1.41
12-000133,10.244,0.964,48.21,1.26
12-000138,15.39,3.795,47.63,1.41
12-000162,14.158,1.968,45,1.71
12-000169,23.808,3.133,44.53,0.39
12-000196,5.465,0.061,42.59,0.92
12-000200,3.049,1.36,41.72,1.16
12-000202,0.581,0.177,41.62,0.42
12-000213,9.833,0.026,40.98,1.21
12-000223,12.52,2.312,39.87,0.15
12-000224,29.47,0.148,39.81,0.37
12-000226,23.929,1.906,39.72,1.05
12-000230,26.372,1.715,39.51,0.19
12-000234,17.854,1.751,39.35,0.26
12-000239,22.995,0.862,39.01,0.42
12-000272,10.353,3.273,36.52,0.28
12-000279,15.576,2.09,35.91,0.46
12-000285,27.149,0.744,35.49,0.65
12-000291,17.641,3.751,34.91,0.53
12-000293,8.174,1.369,34.69,1.71
12-000300,21.309,4.082,34.17,1.13
12-000301,16.513,4.031,34.13,1.83
12-000302,9.745,2.824,34.12,1.65
12-000312,14.064,1.465,33.52,1.68
12-000321,2.695,1.208,32.98,1.2
12-000325,9.532,4.522,32.76,0.73
12-000326,20.374,2.475,32.75,0.17
12-000355,21.608,0.308,30.66,0.36
12-000356,3.082,4.69,30.59,0.5
12-000363,3.824,1.147,29.88,1.27
12-000368,24.959,0.593,29.68,0.54
12-000370,4.684,0.762,29.49,0.46
12-000372,2.55,1.683,29.46,0.97
12-000374,25.712,0.129,29.42,0.74
12-000378,10.582,2.229,29.25,0.1
12-000391,23.869,3.671,28.67,0.16
12-000427,3.629,3.461,26.99,0.97
12-000430,15.411,3.207,26.84,0.94
12-000446,19.618,2.907,26.27,0.08
12-000447,23.016,4.335,26.26,0.31
12-000464,27.114,1.971,25.73,0.48
12-000470,29.095,3.239,25.57,0.21
12-000478,6.381,1.649,25.36,0.38
12-000482,1.347,2.488,25.23,0.35
12-000496,24.317,2.045,24.58,0.72
12-000497,8.7,1.94,24.46,1.67
12-000534,18.934,2.734,23.29,0.2
12-000536,15.236,3.259,23.23,0.79
12-000567,13.696,2.82,21.96,1.43
12-000580,28.947,1.517,21.55,0.17
12-000587,5.239,2.001,21.5,0.65
12-000596,29.799,2.555,21.27,0.1
12-000613,5.083,1.105,20.88,0.42
12-000627,28.135,1.647,20.48,0.58
12-000630,14.75,2.68,20.41,1.38
12-000634,4.347,2.849,20.36,0.51
12-000638,15.421,3.829,20.28,0.08
12-000641,27.239,1.903,20.16,0.97
12-000647,1.652,4.031,20.02,0.26
12-000652,9.741,4.1,19.94,0.7
12-000657,28.888,2.834,19.87,0.17
12-000676,15.77,1.453,19.38,0.14
12-000677,9.852,4.957,19.36,0.39
12-000687,9.978,3.794,19.23,0.61
12-000689,1.485,4.168,19.19,0.31
12-000707,26.892,4.787,18.95,0.58
12-000708,4.582,0.479,18.94,0.23
12-000711,17.409,2.198,18.85,0.2
12-000723,0.694,1.542,18.67,1.27
12-000727,5.781,3.919,18.55,1.35
12-000733,22.279,0.891,18.44,0.72
12-000734,11.067,2.73,18.43,0.66
12-000760,8.363,1.062,17.95,0.18
12-000771,14.678,2.226,17.72,0.58
12-000773,7.983,3.347,17.69,0.59
12-000831,25.401,1.205,16.52,1.06
12-000862,29.695,1.684,16.07,0.14
12-000871,5.726,2.364,15.85,0.3
12-000876,3.23,1.088,15.79,0.93
12-000889,29.765,0.829,15.56,0.06
12-000905,27.652,2.759,15.26,0.9
12-000908,10.497,4.436,15.26,0.78
12-000926,8.708,0.606,15.01,0.2
12-000929,11.659,1.575,14.95,0.78
12-000933,11.37,0.195,14.89,0.12
12-000935,0.52,1.752,14.88,0.34
12-000940,3.567,2.733,14.78,0.08
12-000953,5.392,2.182,14.51,1.16
12-000954,12.314,1.435,14.49,1.15
12-000960,10.92,2.074,14.45,0.4
12-000964,18.089,3.618,14.41,0.89
12-000967,14.559,2.806,14.4,0.5
12-000982,23.706,4.109,14.19,0.52
12-000983,2.025,2.967,14.18,0.56
12-000991,4.615,2.524,14.08,0.14
12-000996,17.64,0.817,13.99,0.1
12-001014,1.332,0.816,13.72,0.29
12-001015,23.672,0.218,13.71,0.93
12-001031,19.05,3.715,13.54,0.97
12-001034,13.789,1.96,13.5,1.03
12-001040,24.799,2.8,13.43,0.1
12-001046,7.923,0.927,13.32,0.71
12-001051,14.428,0.19,13.25,0.29
12-001053,4.845,2.864,13.22,0.27
12-001054,9.938,3.3,13.2,1.03
12-001063,7.091,0.249,13.08,0
12-001068,8.846,0.325,13.04,0.94
12-001072,0.432,0.944,12.99,0.18
12-001094,11.767,2.129,12.75,0.09
12-001095,19.618,2.246,12.72,0.08
12-001100,23.157,3.255,12.58,0.41
12-001106,9.736,1.739,12.52,0.19
12-001109,2.137,1.32,12.47,1.16
12-001128,24.161,3.476,12.3,0
12-001136,20.251,4.456,12.22,0.92
12-001140,10.752,4.926,12.19,0.15
12-001144,3.772,4.886,12.16,0.2
12-001145,6.9,3.357,12.16,1.01
12-001150,17.259,4.028,12.12,0.19
12-001153,7.802,0.072,12.11,0.18
12-001160,1.638,4.278,12.02,0.14
12-001166,12.342,3.926,11.94,0.88
12-001177,22.543,0.02,11.83,0.3
12-001178,19.878,1.304,11.82,0.13
12-001192,24.124,4.049,11.66,0.87
12-001208,10.638,1.878,11.47,0.16
12-001215,16.368,3.218,11.42,0.47
12-001217,26.706,3.047,11.39,0.64
12-001218,23.624,4.854,11.37,0.74
12-001219,19.615,4.781,11.37,0.8
12-001221,4.374,4.36,11.36,0
12-001226,25.429,0.124,11.34,0.71
12-001238,14.796,1.928,11.26,0.37
12-001250,25.15,2.395,11.19,0.13
12-001256,14.534,3.35,11.16,1.07
12-001279,20.621,4.785,11.01,0.17
12-001298,17.377,0.511,10.85,0.94
12-001305,28.626,0.353,10.8,0.21
12-001313,29.88,1.174,10.74,0.64
12-001322,25.262,0.652,10.63,0
12-001326,22.008,1.496,10.61,0.3
12-001338,6.439,4.599,10.5,0.1
12-001344,28.432,4.066,10.45,0.31
12-001346,19.638,1.403,10.42,0.22
12-001352,8.412,3.035,10.36,0.19
12-001359,11.04,1.252,10.32,0.72
12-001366,15.096,1.482,10.28,0.85
12-001394,11.275,0.254,10.09,0.14
12-001399,21.164,2.726,10.05,0.23
12-001404,16.468,3.371,10.01,0.81
12-001415,4.852,1.311,9.93,0.24
12-001418,29.627,2.514,9.92,0.06
12-001420,4.945,2.68,9.91,0.07
12-001425,4.692,3.079,9.9,0.18
12-001438,14.224,0.346,9.77,0.39
12-001439,1.689,2.07,9.77,0.28
12-001441,26.156,3.817,9.77,0.87
12-001451,9.8,1.302,9.69,0.11
12-001460,5.299,1.175,9.62,0
12-001463,24.461,4.919,9.61,0.1
12-001464,2.596,0.23,9.61,0
12-001483,11.508,0.788,9.46,0.12
12-001484,8.942,4.879,9.45,0.79
12-001485,18.455,3.807,9.45,0.85
12-001486,12.332,1.085,9.44,0.09
12-001488,4.675,1.724,9.44,0.28
12-001491,2.846,0.779,9.42,0.23
12-001496,13.62,3.635,9.37,0.16
12-001508,8.864,4.705,9.29,0.62
12-001513,14.492,3.572,9.28,0.12
12-001514,17.693,2.215,9.27,0.32
12-001521,5.039,1.966,9.24,0.9
12-001530,9.88,1.932,9.17,0.14
12-001534,29.967,4.93,9.16,0.22
12-001535,6.834,4.486,9.16,0.04
12-001542,21.877,1.842,9.11,0.15
12-001574,17.843,1.319,8.9,0.17
12-001584,9.631,3.124,8.88,0.18
12-001627,21.833,3.673,8.65,0.81
12-001628,15.362,2.22,8.65,0.71
12-001636,26.686,4.637,8.61,0.69
12-001649,10.094,1.578,8.54,0.49
12-001656,20.896,2.843,8.48,0.06
12-001658,25.256,1.194,8.48,0.4
12-001661,6.869,4.175,8.45,0.86
12-001662,23.355,1.872,8.45,0.71
12-001664,12.637,3.943,8.44,0.88
12-001670,2.863,2.568,8.38,0.09
12-001671,2.763,2.849,8.38,0.76
12-001673,3.951,2.045,8.36,0.78
12-001674,14.128,1.367,8.36,0.59
12-001676,20.623,0.255,8.35,0.66
12-001683,9.709,0.417,8.31,0.78
12-001697,3.331,4.16,8.18,0.11
12-001708,21.403,1.535,8.14,0
12-001710,11.588,4.978,8.13,0.11
12-001711,21.544,2.804,8.13,0
12-001719,22.587,2.838,8.09,0
12-001725,29.526,1.355,8.07,0.45
12-001730,22.226,3.292,8.04,0.65
12-001731,29.872,4.704,8.04,0.5
12-001736,27.671,4.827,8.01,0.55
12-001737,14.335,3.714,8.01,0.1
12-001744,6.412,2.157,7.97,0.6
12-001775,5.386,3.437,7.78,0.18
12-001808,9.557,1.186,7.67,0.1
12-001817,7.43,2.033,7.63,0.12
12-001823,5.525,4.048,7.6,0.1
12-001854,1.265,4.487,7.47,0
12-001889,17.401,3.789,7.33,0.46
12-001893,6.715,1.809,7.31,0.63
12-001899,23.695,1.446,7.28,0.48
12-001900,11.584,0.691,7.28,0.03
12-001901,8.818,4.953,7.27,0.7
12-001904,23.406,3.83,7.27,0.19
12-001935,6.373,1.148,7.16,0
12-001938,11.825,2.956,7.15,0.58
12-001939,18.59,1.849,7.15,0.43
12-001940,9.054,3.566,7.14,0.1
12-001942,11.714,1.8,7.14,0.24
12-001943,28.731,2.067,7.13,0.12
12-001948,3.643,1.617,7.12,0.53
12-001961,17.515,0.088,7.07,0.65
12-001964,25.258,3.716,7.06,0.08
12-001965,14.905,4.961,7.06,0.71
12-001981,16.736,0.927,7.01,0.23
12-001988,8.222,2.856,7,0.1
12-001996,25.01,3.004,6.96,0.07
12-002011,25.329,2.09,6.91,0.09
12-002032,19.674,1.208,6.83,0.46
12-002042,9.84,2.823,6.79,0.61
12-002068,5.894,2.174,6.71,0.19
12-002071,22.557,2.615,6.7,0.37
12-002084,27.192,1.214,6.65,0.52
12-002091,27.947,1.572,6.63,0
12-002109,20.816,3.682,6.58,0.54
12-002110,5.426,3.543,6.58,0.69
12-002132,22.926,1.622,6.5,0.58
12-002153,27.95,2.564,6.44,0.45
12-002156,5.644,0.96,6.43,0
12-002158,26.355,1.235,6.42,0.12
12-002170,14.81,4.582,6.37,0.54
